1000 1
-7661903016 7293717778 -6798434062
6825341720 3976830086 -9786759590
-2000892503 4779698935 443901925
659253882 105744044 9371345473
4452997880 -3691926467 3156384020
-8402694194 -4148521875 -1418644327
-8185408228 8930421008 -8698957016
-4295988026 4664253807 -6139721473
-180259232 -8219538542 7332076533
9235702488 -577434932 3816457735
-7136677603 -1602289910 -4776545467
-5730365876 5663682394 -9122926892
6168034378 -4559663310 -6051113134
5383618575 -703716567 6271914652
1393437581 -6200384979 -955757871
7046512222 -217611672 -5105404335
8802029213 -5603015440 5796220305
-6180449678 -5917282843 3872743779
6690939466 9832155274 -5179525077
-6931168833 -4408838633 -7557096459
6608544074 7740791993 5324072125
1763930907 7897813792 -3964472777
-5682030364 -2875170126 -3888886298
-4798957849 8848336510 -7238435644
6711992406 -3633016615 9978612207
3366451808 -9112523258 -3697917333
-4951105858 -7971424610 -8475883058
3093185543 9013380587 -3390052
-1174751798 -8495049041 3147013825
6183846842 -2962134242 -6346319
-3418900034 -3059620487 6343462328
-4567108459 -5861108774 -659014471
-7737799522 -6056434727 5681346430
7865163643 7443221174 -4889221178
-1382342938 -9754062279 8062670627
3271029154 5013255674 -8995819929
-9867554786 2506938253 6032877628
-1348896821 -1351467635 3804849269
-8329060478 -7103802661 2868966723
-8001000182 -3374567215 4366596148
6190124101 -4756931837 -6544336493
2666759275 -2425729327 2532199293
2327610599 390028507 1311989978
5995065600 8212932982 2469559192
9237874987 6909874478 389839584
-6703591263 2830074095 740573461
-7822118790 -2619088717 -4742372907
-2534081696 3827434418 3333203389
9029882182 -180958018 -5397722582
-4833515894 -7890283905 -1609408926
-1543192820 -2920604516 -1482646670
936049802 9458993429 -5486336993
5390683978 -8591850300 -6548041520
9759759989 2889490758 6826652977
8733640695 2942376737 -6225308554
4558829839 474737748 -5831157023
-8421359636 -8998789705 -8668258124
2827118937 7461473717 3112287120
-1100950066 9472905659 6993763239
-9617311634 -7189665894 -7870697266
-4079760937 4432990707 -1033995920
8742485807 -7381364524 -5629133708
-3687057499 2789337830 4181134033
4612174469 8031305456 2593832619
4942079373 2801441022 -4677662278
1390047826 855374345 -4867259148
7699741704 5607085591 -6705339113
1335452933 -4935451530 9996639653
-7667799701 -8497430316 -9678872853
-9405953155 -6080522418 9192337018
-4364771558 -5802903026 7981049699
1640062789 5188896640 -6743015647
289440329 -9645844013 -9279213322
-3927634431 -4459838389 -2983323023
9839186177 3735080029 -2633716663
458287 1482980657 -9203297465
6243983072 1618144166 -293076330
-6635118759 -3260567679 4560192133
4646692454 2962874009 -7507414107
3811852168 2389292772 7884120918
-9587197495 -7026866696 610324931
-5858754405 822637555 -4200923965
7790716342 -5768275773 -4694670529
1999137358 2025374793 -7509892396
2057684764 9153926706 -7811093793
-5523085037 1026884941 -2760604837
-9061722244 -855426011 1414700885
9700350978 8124795418 6469585272
367552759 -1631080123 -1098371346
-73395551 -9263844599 7637800262
-2916851476 7855743752 -6369219520
-5777211249 8724239967 -6268138550
-1646463635 -8605184824 9261761252
1862878226 -8760600391 2694043736
692368451 7231232655 5575600317
2439172568 4987729886 2928658229
4763388045 -2863346610 9515087688
-3921532218 -7156235331 1733845347
-654946496 2083186140 1301559127
-7883587735 3949737968 -3639626389
7059495062 7655474497 -5770763297
2028914387 -3982993335 -7594628176
-9837448363 -5368088655 3604676965
2031926695 -2249775847 2444486964
-9586797396 2951309598 9129991866
1778722434 -6535254086 5571288651
-2018612243 2563915653 -9269700564
4879062608 -1949048819 3383439976
1302766685 -1331645047 -8227465545
7687587522 -4435464083 -2983632565
-7769093859 8422532297 5520167695
-9279292381 -1611381706 -3767886609
-8174872729 -7578744048 -1091755929
2080661949 2028686950 9088356000
-13958925 -8992011404 9243528208
8125691816 -2161283905 3984805236
-8999477396 -6190476877 -237841687
2186485948 1776293241 -5590186381
-1582116334 -2821030715 -8139588775
-594433346 -9382510317 8299051911
3562334507 5739857816 6823994461
-4721842823 -9735641696 -4535082188
-5008859395 4457417547 168125293
-7028238578 -1728082275 862445182
5288594658 3960505286 -6245516198
-3700798338 6070979662 -1697553497
-5818276641 3448992360 1308224831
5186926291 4060629643 8926123359
9689616315 7508323060 -2931238708
-7754523505 -9901504218 3804497140
9047071042 6501740760 -1725293830
2593677797 -7285448158 -891263686
1224001587 519240044 4169747987
-3362899966 -9107668218 5434979259
9744495841 -4205456794 -8248453624
4685580350 -2521876482 -3831579292
-5109980136 -4857859031 -8213389974
-4712278444 3131862536 -1059333499
-8913871399 -3244818950 1078278184
6569445392 -46316731 -7642402238
4496892961 -3224230573 -8458334898
-9556905548 1113609446 6272961738
-5569649406 -7331362418 -8418476556
2467649508 1121383890 8011229909
3902370092 13815461 -3866390937
1659445282 1738213699 -5243257262
-1521189364 -8205855074 -9875439760
-3207604559 1356767537 3693509119
1830825292 -9934531156 4260986807
-8167964312 -2324414298 6320769171
8638242912 -5075749443 -1013652995
2426372276 -2467490584 1151542074
-1703329234 7112509755 -2720974466
-3902964172 -3081444426 -8320901001
-6486609673 -607104669 284776249
-5334985109 3858532076 243750033
-1155983093 3970844950 2080425787
-7322942247 8378451393 6266783657
5717334864 -4544990360 6189660183
329799077 -2311489647 -7151513310
-5950914533 7620812207 -7751260492
-6029417196 -7991076995 6164649197
7366409486 -7988992551 -7713927448
-6187400213 -6299750878 -2522934463
5466032892 132058463 4126259711
-9975248732 556048347 3856414344
-8096435891 -7894102619 4283220286
6308390016 -1943638942 -9260680938
-3032887441 -1984579474 -8463817542
-5331006432 7552919598 -2004591057
4403284379 6774581656 -3187121147
-4153244218 -9526660572 6842134004
6039988782 4120188679 -312137296
-660675183 6058547308 -385020038
-7973049196 -5001041393 637904579
-7951359474 -9197037541 -663077111
6373748410 3476558303 8617989742
-2050719358 -7023925102 -1913133780
1184148992 -7342285683 8893679816
-2436730222 -5986551014 7598894390
-9619597259 2955397586 -6508042006
-9006120236 -3943386683 7753981284
-7846823605 3192736399 -6758745915
-5969098449 7241019485 -2294023257
-5361584269 9063698620 -2427169494
6233963009 83843173 -5958689350
-4170185584 -7914272520 -2403175437
-6603673671 9064230251 4785565752
-957118949 -1552490759 265535181
-5426607367 8903661192 -2801580233
4532071099 493737634 -5673809927
-4639737325 -7957549441 -838350937
4608786120 2209899571 1574093022
4302892817 -4080759087 -6765242462
1364357343 -6413273266 -9562360339
3853864579 -9190079274 -1046811610
-7027513832 -3536302702 8453127365
6681013793 7359494929 -2377158510
-3252434474 5324188289 8144599121
-2676294337 5173456137 3705978897
2542408630 6671273762 6551783921
-5389158972 1943426216 -7899071753
2883691136 1369812735 -9360096623
-4547657763 -4531577343 -2068041019
-1269860627 -6466506978 2923614942
-4781892770 -7521021316 5942369551
1194523947 -2137905684 6760239039
3276102660 -6031620852 2907347830
406078489 7472691842 -8937915757
5590491802 -8653839818 7733186209
-9453779950 489124266 3954543042
3412726440 9643484929 5352423872
1120158074 -6148934111 1967052538
-4102797100 4791062559 -823004876
22924420 2927330256 7644583120
4402255337 849658244 6285867788
9612544735 7004165553 3769690148
1930822070 -9867070844 -5075893897
-5316020916 -9753405374 -8110137650
9588711678 -4342103378 8328024075
-8389073048 -7570532527 -593196861
4896182928 6746828242 1097289166
5924391827 -8941124500 8540085511
8668581603 -5910397824 6676300735
-2790103487 -1589753726 -9024287373
-1120969359 -3062993263 1682225621
-9455858530 1007047189 9000125421
1418795974 -8122450751 3607593612
4847924509 5978475164 -3022780953
8685575371 -3173230492 8583680267
9711800329 -3086006846 6370735210
478260784 4955583432 -7529147753
5378931805 -2534322390 -5254470194
-6852526136 3701541009 -8246145119
-3835649654 9332880525 -3633057200
-1467851731 156741868 -5624399429
-5274828580 -1194063721 -2588406672
7270200703 228710778 8964742863
-2970778261 -5368860398 1982210964
-4386899117 -4460535195 -8450532279
7306048337 -608663108 1968327568
-159800327 2315217596 4253377593
-2921125645 6042779387 7313189014
2530320822 9568648727 2255194054
6974578305 7222217592 8273907221
8826371579 -8757499819 -8872194885
-7487198426 -7821824440 -1692827895
-8420114982 909541730 -1660796528
6323124489 9340407707 -5932841180
-1839626470 -2137506128 1751216818
6936900779 -7142278251 -1475436167
7420534320 -5355840891 -9021129496
1486252398 7373805243 8955331122
4572682511 6612632680 8669682709
2022996779 3964874037 -3743668855
-1670601550 -8424493732 8669113993
-5367878189 3746300665 -492986812
5766852145 7555571671 -2747489177
6613609405 8990100173 -4820028642
1154720675 -8270578057 -2823887789
-5559016433 -8274934290 3917110456
1334316925 -6780061377 9806769031
2026615489 7470665191 2279984723
-3935727559 9524207762 1061976316
-2387071065 -1053278238 8493691078
-1264027533 -2757646248 3984164328
-4395063164 -3531351682 8698913015
6460388955 -6293771205 -6458862246
4410198518 -6814645068 -5123205136
6569386617 -9348360588 9496035957
6315686891 4788130389 5087866766
6536357931 7606102902 1580350251
9402140041 -5783561997 -8898561452
2405092490 1027515047 -3824305100
565901994 -3936721778 -1370162401
6985128760 4909052791 8366959413
436868947 -1748548144 5685312312
-3778092008 4647234530 6251453220
-1993726217 2487913185 4816899913
8610259086 3712889897 9744249244
-4559896093 8925004389 2007812770
9598369557 1804900516 48713830
-5488652790 -9732427184 5906873381
-6144126388 7612503148 9367571266
-8506803427 -9210275592 3643040140
352573301 -882842968 914763703
-5168147289 -3874630240 4407184994
1340029592 9316982224 -255765450
2215043714 -1514473291 -9187014357
9242006688 148125646 6603884545
8200689362 5680183488 -6613746834
8877410578 -6528888780 -2135264086
7275164958 4836943174 -3444296959
6128565520 -4467688390 91628090
7562154194 5430127303 -9924864635
532883113 5653968944 5109146398
5133401810 3754243731 9509897310
2127031741 3725929227 -9970568609
2296431931 927895206 8782620034
-1952577798 7567429202 1538138372
8765540389 -8271974388 -47873422
-2790992626 -4578934016 -3290197478
570627849 5636688685 -8904348596
-2499126548 -2106799385 -1954508105
-6927860219 -7272402481 8697576427
-105879627 9395279363 -6737892855
6322602814 -3038549366 6404653206
6436594429 3963018877 -3909834540
8230718931 8514179292 -5848973275
-8165086863 686101683 -9507094477
-9878891064 4035630594 6925409563
-1815147063 6280174367 5147756650
-4872131678 9347446646 4806080194
-5075626261 -4219064615 5748386073
8038802176 2829726918 863475276
-993970769 4702460496 6808097894
3639956568 -2624368468 -8180839498
-3566277915 -6235778375 -2807495041
-9178532786 -1837935098 5188887037
-657881582 9957594317 -7792308920
3269080805 8987883876 -1001780232
-5514844747 8840520896 -4616644230
-9156241232 -2785103174 -5095280994
4392591373 3324904707 8150580249
-2621284507 6251469023 6051573266
9036932659 -8019464879 -5024635078
4540421703 -9947620714 8630597563
-4504118359 -6289362034 -5714842549
-3669828485 9965571156 350086419
-8885807558 -7132991377 1582128397
-4822829572 7596298897 -7065460500
-2435827031 -3602143130 4982174784
-2339626537 11285225 -3319051959
-6763858808 5717782046 3519845831
-545125423 -1157981948 4468047783
841466963 -5370379085 6246934378
7519080532 2945879368 2612487363
-5101546167 -340862731 -9871522322
-4354256551 8951485302 -7511556469
-1389232977 8762643654 -7551153027
6879571523 -8304720880 -2328405304
-6501644973 1812523304 4533023340
4591458447 -4273676889 4264859680
-7760517103 8160374994 4633704103
-894928053 1721385991 -4002354461
-9595713527 1603071125 -5765082923
5761909208 -4347829440 9693617276
-1882476811 2681732714 7584734279
3945632727 -3955406359 -5133066134
7455310822 -5202054845 2903049744
-463440281 -609864484 -1592711020
2068316162 6383973491 4320629414
-5987758887 6972148583 -5286767615
-7109593779 -898970950 -4116945283
8844175830 2664587750 -9602115532
6868948142 5631029842 -1053032945
-3366201098 7224252565 -8364790499
4686836642 9206165886 -7462516470
2998876645 5159045610 7631364947
7266300001 6415962388 -5612108868
-6525354755 -5076597324 3339704665
-2945917501 -5671267262 1537554321
-9244753682 5895981899 -653034412
-710297724 3966610290 -6100091389
6719569040 7040440456 -3319739386
7536772208 9971407988 5040208064
3241388446 6444133580 8693581486
7201172420 -6069863468 4743763284
-1749169627 -6898898864 4653154313
2594373270 1095845334 -3256724864
-1090696450 7669474240 4463299090
-1854060424 208022089 -4484922928
1766220638 445712758 -7259001505
3767707951 4888830240 -7954331543
4793169880 3669510077 -1189826685
1144027002 -6444089453 1766763801
-9073247083 2076315612 9889880718
9658443878 5870826876 -9389310
-2537225020 9122449435 -8882246223
-5594592713 -4270678819 -6297946661
-8051413187 -1860506116 5563684055
-3793348576 4428769704 6687139092
-2441986647 -8789513550 5447917078
2216752225 -5736324415 -2721842163
-8528642275 -2970315522 -326809575
2182335846 -423662483 -3337079006
4916873158 2310374589 1232361585
3261451497 -6370915022 5882168748
5670891279 3166952060 4589092595
7306297121 7183120427 -7689221323
-7932437966 6130390683 5550945629
2418679464 25074730 -9196194314
-6167124287 9265824338 -1925062770
1148792555 -3233142010 88996765
-4750336314 -4854825375 -8741292811
5590636159 -3911273863 7895407867
2583135840 7454112026 -7760287168
2095554531 -2322592959 -4216088318
-7035436266 -456108410 2190655601
5817477070 2483327780 -4064507758
-8688182511 -9110244834 -485880805
-6389872400 -6856919065 1309960227
-5427506713 1302044505 -5500024640
9302436304 3630754794 -5285042962
-4185020025 -3199769896 121066933
-665491437 -2813538286 -2969553495
3587124347 -6795463808 1801509629
9455562065 4951383566 779398092
415564215 -2843373812 749377283
-6431928018 -4001443027 -3128027049
-1798540589 6808245278 8684385361
5141710657 -4859124682 1266008150
-6702220234 7910597024 -1736063411
2624946689 685812251 -6749603520
7038442175 -8799170782 -1810948629
1150684123 -2976995715 8884640186
-9312760220 2517979831 -1587936652
-3761229660 9381389972 1479747176
-5941641347 4619054245 -2983278131
-5433254808 8049753153 3434222016
-4571566594 -7893002436 -237363878
-6157346359 4628777226 -1700620247
-4794822712 1498287238 -5206602608
-9470821986 -3214830569 -3394951008
5980998158 -3736158111 -9931661391
-2489228253 -3968946851 -837011820
4511226245 -3148294820 -4755941003
-700465017 4024904591 5856686507
-9256139158 3435384781 9184988906
4448277725 3440210857 -8495619296
5339100617 -5611497747 2785298947
-483387345 716370366 -8411117570
-6470759996 -4092538200 -5307789639
-5543681926 -441595475 7641375779
-2570175271 3822653682 -4945406858
5451941838 -2753068076 5304525545
-5225073486 -248894310 3154002676
9060376608 -6336643692 -2336940929
-3344777964 9965020990 -7889001278
8253671721 9269614794 9091913868
6394696711 -6563820292 -7886433283
-4579312706 5147442774 -3152132034
-7945155521 9390289417 9920697599
8128502789 -5071747131 -746935436
-6473953047 -8013339625 1655272266
-2665432989 5286665166 -8253673406
7612817279 7131420829 -8590648492
-3099179759 -6393088780 4067349056
9201747414 6585441194 -2727966412
6532837823 -8081782855 -7041328917
-7443179852 4004355772 3561259817
4534914891 7619092334 -2035304104
-2250122951 -5117071246 1872696254
-4094023661 9895958717 -3259415631
4482192193 -4084149599 -8153164616
-8953293665 5138499978 -9700665495
146248382 3469894165 -8381147916
3649545792 4647814521 -9674919483
-4775937661 -145392117 1751187087
5592971289 3414288929 7192563724
4260517631 -7480312664 -1690996007
-5662224810 -1806547767 9568541887
9343788408 284030797 -6208913001
7185394972 2773622704 1238249005
9820877948 -2768941819 -8817962914
-9617797141 231889211 7078870561
-6364450760 230536132 -3912611532
79061965 9238158130 4405236803
940704317 7112483354 6454966229
-1938608197 1925213493 9909887916
4928492200 9294007499 1892712710
-5634269383 -82306881 -8105698712
-3875084580 -9062297435 -417900194
8684647267 -7648040684 -1413069937
3325492882 -8206970552 -1636561712
-5017679329 6480039059 -1607271550
7146859020 6264420496 -5479956345
4036648519 7781617707 -35354634
-8473426910 3925782885 7342794931
-5573863215 -7654172955 -8237860923
-868679200 -5324759965 6026540511
1265591696 8696268500 -3989588526
4682148983 -6582335810 822194787
7173144916 -3677079128 -8860232045
8054891914 2865317019 9086331953
7755095487 -2368978043 -5185585751
-4120041531 -242243894 -2879310412
-1763335459 8363268490 -6986180145
-2242570980 -4545693984 -6793208331
-2479559283 8840086376 2733988027
-4462380034 -5659959946 -9447323434
8267484116 4346048536 6123678896
-6051745639 2936206644 715097426
-3619181168 -7350279472 1582935241
7900251461 -9686306794 5425443703
-9459391773 897129891 -8373540824
3068226475 5974055711 3303809076
-8679804278 -2738040239 3945034088
3812874596 2252970850 5105363436
7314021145 -546459826 -4833468197
1397719617 7516719845 4781337165
-5078346626 2724098690 -2112251807
-3328366902 5160012610 -2216591882
-5537633740 -3608576947 3788835589
-6029465054 6529850335 3385868273
1882532071 8912328918 -3430153000
-4560146794 3245792889 -8054804266
-9601960302 8059499698 1489322832
-4747115507 5996839098 -7647271060
-6037039260 6575758463 -6818797014
-970021177 7833069641 4396612031
3756648810 -1833152356 -7760124667
-2937772907 1641117428 9282242116
-4299484545 -9272672837 8252253211
-6869463681 -8610319170 -6935175299
-397039106 -8642622257 -5964403235
7413804552 7668131333 2375718251
3301131132 9837863937 9927413590
-7165398353 -4088353895 -7882794191
-1999326514 8773664339 8094101635
-7745564553 -8047448211 8735067459
8964957364 7264706224 1400567530
1902187128 155849678 -7234368108
-4372134124 -9846441019 2276834876
-1657220081 6122821671 6354207796
-5475855888 -1588895426 -6132956610
-5955199035 6949483107 3221011095
9962726181 -2969088002 -4936825816
2415071128 5947815537 250495825
8678367098 5980834384 4333083521
-8919052858 -5775314720 -1457599046
-5204640175 6869493130 6075140218
8889215866 1119450017 1104847740
-4141951917 2574061681 -1904680704
4897547949 8418529972 3737100061
9864204228 -4029961797 -5269971612
-2704120030 2552897140 -1246291302
-6026119189 -9913217723 849107209
-1985611425 5080978421 623638865
196389042 7186986786 -3228473125
-4393635132 -5031218971 -8971737081
2231769438 -9333813928 -8405346416
-9258347792 -9072940569 -1344084738
1742967564 7298455019 5407807416
3773879354 3865659673 4603525521
7515440363 3603397449 5858658188
4463024733 2503708376 8160111274
2152197222 -5618665753 1758183444
778081783 7221147716 -5444457549
9633292454 -8694366055 -6554659663
-2865729591 8453213981 -950888213
1219600095 -9520525837 -7837119369
-6293134186 -7000684749 -4178480396
-2632147877 -5640847769 -1606924065
7103471132 9580543713 2811739471
627134629 -3856932982 789458697
-2817178756 -7920621199 4301118033
1240865467 5146171912 -3332414217
-4224506650 6710580151 -9726104598
-6591995257 3730765250 5271455658
-6173716474 5759689749 1364570269
7500312968 -8669965123 -6507953567
4470477067 -5223657649 -8100729872
6503783709 6550118032 -5397603457
-7315458754 -1998601419 9029388061
-8112404135 1433433041 -2482816271
-877675412 -2567891000 9998139839
-1472925807 -9626852624 5808398719
-3668262813 -9460864438 -4695525941
6047585412 -8334996134 9291950801
-5416745903 -5428064691 -4779490377
2515459200 -1491242545 6289434034
-856359855 8291459427 2757547070
5784511720 2219229248 -9314094679
5670558946 -5565724496 4830013481
-2602572687 7407156939 9392095410
3816176902 4120641982 -936007048
7859082288 -2875987585 -7935499678
-5161655452 1194673394 8142778534
-4428756560 -7154016300 8503390903
8448109236 -6968808452 834286231
7353913242 8361368602 -939312305
-9765169298 -2248454898 -3626351517
2183858583 -8379055712 2264375607
-5650793075 -2745794129 -669509255
3679147529 3765326821 1489818787
7719467950 6077196697 1713193414
-7664434713 2866005091 -7117505343
-4648101092 -6932471996 -3055363907
-7158784626 -452069117 7096655120
2725835116 5301588653 -4297453182
5408168778 6618799929 -5527729423
8680718031 -5861730705 9533853066
5723427569 40233926 -5205056117
-8082470358 -8018911745 6080203508
9971796529 -1839581587 -5853644885
971918872 3649148055 -9803860378
-172318007 -8060307841 -8681969799
-8460498545 2203134572 -5165888638
-7953590835 -1775535678 -4507953063
7478675092 -5069256595 7427351164
-2501157726 3614856492 -3360299229
6682452061 -3775834683 41965193
-2940942182 -6465898909 -2124123358
-5038879600 -2752712363 3258440954
-1386382218 606228564 9321017262
-4695311157 -4176225030 3527277329
1228380347 -3221106741 6187019493
8627773891 6513900592 8225196206
319653225 -7857347441 3190383532
-7782484961 -3361067881 7172372304
8916850216 -6300000994 -7033635775
-2596802339 3510924123 6411255523
-3244390001 3055098510 -8853778020
2700320134 -1954561266 -1806401825
-7351294500 4386532220 4494791603
800133789 -7166050766 4403748501
1030745423 -9605339510 -3309768637
9211254960 -6518168249 7009644951
-1499471914 8697395482 2861326526
9704487820 -6205036789 9757710371
-2691595523 -957260642 7038202134
3728946572 8305771382 9120736788
3164106052 4100165610 1419490837
1579889838 6219473511 -3321065834
-6677436669 -2151439690 -1496936138
-6544418517 -7404260784 -1169719379
8694196500 9295635856 -8957695032
141150906 9637043312 371158360
-4125607390 1415041587 -9256254772
7691563840 7744128528 9438739378
1439414430 5240700011 9287100225
5692848542 2345900022 -4194235580
-2694221737 -5197911872 8555704191
-834613267 3407193490 8061602363
5638940404 715769669 648666363
6443560606 -3651673434 -5598274968
-8588142306 -7170813775 1531974307
7905032780 1842339880 -1530457565
3740035458 2008999340 7912209648
2415078908 -8702746086 -421423567
397133034 -5494130162 -7676818139
7616580379 -5037981879 6296203499
6643272913 576330525 1104804816
7751605013 533136650 -9012259621
1393794879 -649452494 5721953603
-5666473162 3616931647 -6547644330
-1694735437 -9563440370 1802975482
-1814359970 -1598373117 9497985318
5260817111 350551536 -4244029891
366689401 -1477513294 3282524342
7171247658 -2824386752 -7805887483
9221998879 4991448642 5290500718
-2797425534 32749601 2695358247
-3288447234 745387657 -7686813576
1050731538 -6954444196 1529379240
